"","T50","M50","rate","range","FC","GCV","degF","spar","pen.crit","lambda","scaled_T50"
"1-Methylnicotinamide",4.92510225125569,1.32550023756208,0.492510225125569,2.14505247786067,3.24478657410506,5.88993896430149,3.50363440916476,0.478846594369151,126.228108041512,0.000171716734698698,-0.380952543956917
"1-Octadecanol",2.98313799864409,0.965142175722111,0.298313799864409,-0.158833111708831,-0.0883609463143333,16.6954208652931,2.00000052195446,1.49999995364281,403.075144707041,4095.99684126183,0.0418097552827078
"2-Hydroxybutyrate",2.86527926887816,0.888158805144122,0.286527926887816,0.0423002319058244,-0.0467344067102712,15.6374934815024,2.0000005102194,1.49999996786765,408.659814756631,4095.99781053006,0.0674673993481429
"2-Hydroxyglutarate",2.83101851107841,0.906589639811805,0.283101851107841,0.434206950547966,0.704654576246912,13.2296052616219,2.00000055448659,1.49999994941312,306.240848953029,4095.99655305488,0.0749259077741538
"2-Methylcitric acid",-0.374056324020785,1.1095581014449,-0.0374056324020785,0.669054111738448,0.89782981308829,-34397.3903496779,27.9999998932016,-1.49998223529999,-1.40119027491892e-11,8.67618103154667e-19,0.772665222336398
"2-Oxoadipate",2.6905641722944,1.11357624829467,0.26905641722944,0.325605891830797,-0.059370441574814,14.8922796105182,2.00000037300605,1.49999997333204,374.361087451813,4095.99818286865,0.105502577309987
"2-Oxobutanoate",2.21110933824546,1.41704358053042,0.221110933824546,-1.03462306407244,-1.10428535399546,12.5974545520105,2.55876658039124,0.630027969845615,316.205049916479,0.00212351685664291,0.209879075359059
"3-Hydroxypropionic acid",8.00689602449219,1.39984182743472,0.800689602449219,2.1011160910567,2.81054563568666,1.04723399406993,23.5108036519623,-0.453070625014192,1.46995590369048,3.17666739330687e-11,-1.05185378202229
"3-Methylhistamine",2.71369593497012,0.847120150865829,0.271369593497012,0.67834755486228,1.21379262794536,14.0496629647545,2.31455666978613,0.687098440129861,344.998139219517,0.00548749168193173,0.100466832104533
"3-Phosphoglycerate",2.61917566073272,1.14957809678752,0.261917566073272,-0.721150190474584,-0.837531385644814,14.9604740499207,2.00000054382753,1.49999996142793,376.075349760435,4095.99737173297,0.121043734283667
"4-Guanidinobutanoic acid",2.78847315461505,0.602599458103177,0.278847315461505,0.619952390164924,0.624710357172425,14.3157557416419,2.00000049035258,1.49999996363746,345.623232725787,4095.99752228852,0.0841879591719748
"4-Hydroxyphenyl pyruvic acid",3.44064200734182,0.956443382760639,0.344064200734182,0.791041936341867,0.793191913824631,15.0661252227684,2.69989966005742,0.616662988225309,374.290500270426,0.00170019002631494,-0.0577880855983943
"4-Hydroxyproline",4.14378245971711,0.979214024736214,0.414378245971711,0.544277023142107,0.823552085784997,10.0015384463683,4.61053768982404,0.432071961166196,195.41111088391,7.88640358764316e-05,-0.210860560508684
"5-Aminopentanoic acid",3.11865057246807,0.973778807108351,0.311865057246807,0.333953790188684,0.499703457219552,11.1991543561371,2.00000059699526,1.49999997397641,259.239671788651,4095.99822677517,0.0123088995338635
"5-Methylthioadenosine",3.05430031329852,1.15932796470766,0.305430031329852,0.406025683707038,0.510529661321179,9.13005836870231,2.00000060868046,1.49999997199815,229.510767265187,4095.99809197849,0.0263178409891969
"6-Phosphogluconic acid",3.68210477447246,1.38854981134277,0.368210477447246,1.11929639367798,1.23286753744676,0.00762548415354315,29.9958117457732,-1.31414157311837,4.45874093202292e-09,1.9097447934446e-17,-0.110354117375566
"Acetoacetic acid",1.7861310802915,1.36098836075384,0.17861310802915,-1.09086595973559,-1.22501225372566,11.3225820514583,2.8881138095971,0.582335729924653,266.209755808856,0.000960489536749538,0.302396115885346
"Acetoacetyl-CoA",4.40461717295409,1.9118758703107,0.440461717295409,3.58200841915658,4.93709988900436,-46522.0401803536,28.999999973379,-1.49964759613996,-1.13686837721616e-12,8.72461515754792e-19,-0.267643831849173
"Acetoin",3.78588094492975,1.16618475146246,0.378588094492975,1.08026933551223,1.44653775945752,7.87084601197118,2.0000004500013,1.49999996995825,205.69143583465,4095.99795298125,-0.132946012344695
"Acetyl-CoA",4.20774535253117,1.80276533340605,0.420774535253117,1.58979640168696,1.3659091154964,5.8554659168897,2.00000056200305,1.49999996460203,153.022836485243,4095.99758801359,-0.224785172970383
