"","T50","M50","rate","range","FC","cv.crit","degF","spar","pen.crit","lambda","anova.p","kw.p","SidakP.t0.5","SidakP.t1","SidakP.t3","SidakP.t10","anova.FDR","kw.FDR","scaled_T50","tp.designation"
"1-Methylnicotinamide",5.21708277639016,1.32550023756208,0.521708277639016,2.14505247786067,3.24478657410506,5.57604496009791,3.31449295523427,0.505164861557196,115.858493004607,0.000266044772603853,0.0000396664602894104,0.00185933223572312,0.0923562415097612,0.096873112285272,0.0120718253158279,0.00000488262247361245,0.0076159603755668,0.355132457023116,-1.61383622178439,"t3"
"1-Octadecanol",3.06116124239015,0.965142175722111,0.306116124239015,-0.158833111708831,-0.0883609463143333,17.2360462455971,2.00000051825277,1.49999995004107,398.982535439508,4095.99659584295,0.573242523169675,0.559863966832281,0.755916017313979,0.565138807374492,0.481644442977683,0.936318679184629,1,1,0.249465439252733,NA
"2-Hydroxybutyrate",3.05822042181222,0.888158805144122,0.305822042181222,0.0423002319058244,-0.0467344067102712,16.5334184316404,2.00000045673191,1.49999995130651,399.16394525426,4095.99668206858,0.520266947953249,0.489963494516203,0.750706665354426,0.998893015392522,0.926771893116333,0.987344822774673,1,1,0.252007106832577,NA
"2-Hydroxyglutarate",3.02506560186092,0.965226086687848,0.302506560186092,0.316934056795881,0.478038307289167,14.0820057676102,2.00000055158101,1.49999995139258,339.979839107194,4095.99668793341,0.136432644788063,0.100476467229758,0.776188085451052,0.566418869630163,0.163410983712773,0.0695561283235588,1,1,0.280661874695132,NA
"2-Methylcitric acid",3.77990904863669,1.1095581014449,0.377990904863669,0.669054111738448,0.89782981308829,8.12829752081131,2.00000073985249,1.49999995099293,196.240314691211,4095.99666070194,0.00180342138511631,0.006136584570742,0.990950496236189,0.906066155631348,0.0589126495939876,0.00133893173438564,0.293957685773959,1,-0.371727846368002,"t10"
"2-Oxoadipate",2.88816135644153,1.04402110282018,0.288816135644153,0.186495600881814,-0.059370441574814,16.1237311845,2.00000036744587,1.49999995570118,373.234507188244,4095.99698151749,0.453215129762359,0.798295701244143,0.637126545447404,0.999997535217707,0.99625022558022,0.982868142900433,1,1,0.398984320048549,NA
"2-Oxobutanoate",2.47426202551993,1.41704358053042,0.247426202551993,-1.03462306407244,-1.10428535399546,13.5683263350858,2.17879789410048,0.718011610627254,323.088249249479,0.00917725655653817,0.0152182027065373,0.0851588658193779,0.146287485737282,0.120532133781544,0.0734859449467413,0.00321252378294632,1,1,0.756705739240228,"t10"
"3-Hydroxypropionic acid",5.88169888306687,1.39984182743472,0.588169888306687,2.1011160910567,2.81054563568666,2.89190043778323,3.39563479503281,0.509025248513239,59.6766208657,0.000283690599157492,7.67819065148458e-10,0.000362943007230181,0.822358839488924,0.998941183725103,0.000124811133001467,0.00000000599588012938459,0.000000180437480309888,0.0776698035472588,-2.18824501913292,"t3"
"3-Methylhistamine",2.93437894788434,0.920920226451814,0.293437894788434,0.530747403690311,0.845770646911507,13.6447193869272,2.00000057520368,1.49999995352796,329.422496337185,4095.99683343606,0.0320840389964524,0.0703348501508912,0.458487684644595,0.639719902603627,0.0224280358362536,0.0283845224734579,1,1,0.35903977032983,"t3"
"3-Phosphoglycerate",2.77022607746251,1.11495555661371,0.277022607746251,-0.790395270822219,-0.837531385644814,15.4591291267354,2.00000054757283,1.49999995796141,373.227530339043,4095.99713552732,0.00284356553569333,0.0131174328006942,0.011384125874944,0.00147564412917756,0.127245462215362,0.00668114711532018,0.454970485710933,1,0.500912427241195,"t0.5"
